1-25 loss=0.1373 dev_acc=0.9444 test_acc=0.8733 eps=158.61
1-26 loss=0.1228 dev_acc=0.9644 test_acc=0.8933 eps=158.62
1-27 loss=0.1252 dev_acc=0.9622 test_acc=0.9022 eps=157.68
1-28 loss=0.1212 dev_acc=0.9400 test_acc=0.8756 eps=158.99
1-29 loss=0.1225 dev_acc=0.9467 test_acc=0.9022 eps=157.73
1-30 loss=0.1325 dev_acc=0.9489 test_acc=0.9089 eps=156.36
1-31 loss=0.1155 dev_acc=0.9556 test_acc=0.8867 eps=158.83
1-32 loss=0.0991 dev_acc=0.9600 test_acc=0.9000 eps=156.47
1-33 loss=0.0955 dev_acc=0.9667 test_acc=0.9156 eps=158.43
1-34 loss=0.1112 dev_acc=0.9622 test_acc=0.8978 eps=160.13
1-35 loss=0.1017 dev_acc=0.9533 test_acc=0.8911 eps=159.24
1-36 loss=0.1031 dev_acc=0.9400 test_acc=0.8622 eps=159.50
1-37 loss=0.1001 dev_acc=0.9489 test_acc=0.8933 eps=157.71
1-38 loss=0.0836 dev_acc=0.9711 test_acc=0.9067 eps=157.71
1-39 loss=0.0985 dev_acc=0.9667 test_acc=0.9000 eps=155.83
1-40 loss=0.0799 dev_acc=0.9733 test_acc=0.9022 eps=158.79
1-41 loss=0.0675 dev_acc=0.9711 test_acc=0.9133 eps=160.38
1-42 loss=0.0918 dev_acc=0.9578 test_acc=0.8733 eps=158.58
1-43 loss=0.0810 dev_acc=0.9533 test_acc=0.8800 eps=158.41
1-44 loss=0.0773 dev_acc=0.9778 test_acc=0.9067 eps=157.48
1-45 loss=0.0665 dev_acc=0.9867 test_acc=0.9089 eps=158.25
1-46 loss=0.0735 dev_acc=0.9822 test_acc=0.9000 eps=158.75
1-47 loss=0.0905 dev_acc=0.9711 test_acc=0.9022 eps=158.60
1-48 loss=0.0574 dev_acc=0.9889 test_acc=0.9133 eps=158.90
1-49 loss=0.0618 dev_acc=0.9778 test_acc=0.9067 eps=159.29
1-50 loss=0.0564 dev_acc=0.9800 test_acc=0.8933 eps=160.06
1-51 loss=0.0704 dev_acc=0.9844 test_acc=0.9000 eps=157.44
1-52 loss=0.0472 dev_acc=0.9933 test_acc=0.9111 eps=157.04
1-53 loss=0.0486 dev_acc=0.9911 test_acc=0.9133 eps=161.73
1-54 loss=0.0483 dev_acc=0.9867 test_acc=0.9156 eps=162.77
1-55 loss=0.0471 dev_acc=0.9933 test_acc=0.9133 eps=158.70
1-56 loss=0.0438 dev_acc=0.9133 test_acc=0.8311 eps=160.07
1-57 loss=0.0732 dev_acc=0.9844 test_acc=0.9067 eps=160.45
1-58 loss=0.0406 dev_acc=0.9956 test_acc=0.9022 eps=156.02
2-1 loss=3.1025 dev_acc=0.1911 test_acc=0.1889 eps=158.24
2-2 loss=2.4481 dev_acc=0.2844 test_acc=0.2889 eps=158.53
2-3 loss=2.1542 dev_acc=0.3378 test_acc=0.3311 eps=157.55
2-4 loss=1.9008 dev_acc=0.4511 test_acc=0.3844 eps=159.47
2-5 loss=1.6058 dev_acc=0.5444 test_acc=0.4689 eps=160.41
2-6 loss=1.3414 dev_acc=0.4600 test_acc=0.4800 eps=160.75
2-7 loss=1.1408 dev_acc=0.6222 test_acc=0.5756 eps=158.33
2-8 loss=0.9266 dev_acc=0.7044 test_acc=0.6844 eps=158.90
2-9 loss=0.7750 dev_acc=0.6489 test_acc=0.6578 eps=156.26
2-10 loss=0.6766 dev_acc=0.8022 test_acc=0.7667 eps=160.01
2-11 loss=0.5670 dev_acc=0.8244 test_acc=0.7778 eps=158.72
2-12 loss=0.5062 dev_acc=0.8000 test_acc=0.7800 eps=159.62
2-13 loss=0.4623 dev_acc=0.8289 test_acc=0.8022 eps=158.67
2-14 loss=0.3800 dev_acc=0.8556 test_acc=0.8222 eps=157.19
2-15 loss=0.3617 dev_acc=0.8578 test_acc=0.8111 eps=157.28
2-16 loss=0.3228 dev_acc=0.8756 test_acc=0.8378 eps=157.96
2-17 loss=0.3192 dev_acc=0.8644 test_acc=0.8311 eps=157.69
2-18 loss=0.2757 dev_acc=0.8956 test_acc=0.8467 eps=159.34
2-19 loss=0.2544 dev_acc=0.9022 test_acc=0.8711 eps=158.13
2-20 loss=0.2477 dev_acc=0.9133 test_acc=0.8956 eps=158.70
2-21 loss=0.2336 dev_acc=0.9111 test_acc=0.8578 eps=158.74
2-22 loss=0.2182 dev_acc=0.9333 test_acc=0.8622 eps=154.73
2-23 loss=0.2241 dev_acc=0.9156 test_acc=0.8933 eps=159.12
2-24 loss=0.1796 dev_acc=0.9022 test_acc=0.8889 eps=156.22
2-25 loss=0.1843 dev_acc=0.9178 test_acc=0.8911 eps=158.71
2-26 loss=0.1836 dev_acc=0.9222 test_acc=0.8844 eps=156.37
2-27 loss=0.1833 dev_acc=0.9378 test_acc=0.8956 eps=159.15
2-28 loss=0.1505 dev_acc=0.9400 test_acc=0.9089 eps=156.49
2-29 loss=0.1530 dev_acc=0.9489 test_acc=0.9022 eps=154.88
2-30 loss=0.1582 dev_acc=0.9444 test_acc=0.8956 eps=159.06
2-31 loss=0.1502 dev_acc=0.9089 test_acc=0.8644 eps=159.54
2-32 loss=0.1365 dev_acc=0.9378 test_acc=0.9111 eps=159.38
2-33 loss=0.1272 dev_acc=0.9467 test_acc=0.9022 eps=156.16
2-34 loss=0.1391 dev_acc=0.9400 test_acc=0.9089 eps=159.15
2-35 loss=0.1163 dev_acc=0.9600 test_acc=0.9111 eps=155.41
2-36 loss=0.1394 dev_acc=0.9511 test_acc=0.9133 eps=158.80
2-37 loss=0.1332 dev_acc=0.9267 test_acc=0.8911 eps=159.10
2-38 loss=0.1030 dev_acc=0.9667 test_acc=0.9244 eps=157.59
2-39 loss=0.0974 dev_acc=0.9556 test_acc=0.9111 eps=158.02
2-40 loss=0.1109 dev_acc=0.9556 test_acc=0.9244 eps=159.85
2-41 loss=0.1019 dev_acc=0.9622 test_acc=0.9133 eps=159.51
2-42 loss=0.0809 dev_acc=0.9578 test_acc=0.9333 eps=154.28
2-43 loss=0.1046 dev_acc=0.9578 test_acc=0.9267 eps=159.98
2-44 loss=0.0989 dev_acc=0.9311 test_acc=0.9133 eps=159.04
2-45 loss=0.0936 dev_acc=0.9511 test_acc=0.9067 eps=157.69
2-46 loss=0.0773 dev_acc=0.9644 test_acc=0.9089 eps=158.08
2-47 loss=0.0914 dev_acc=0.9644 test_acc=0.9111 eps=157.22
2-48 loss=0.0828 dev_acc=0.9600 test_acc=0.9133 eps=155.51
2-49 loss=0.0726 dev_acc=0.9689 test_acc=0.9044 eps=157.05
2-50 loss=0.0638 dev_acc=0.9578 test_acc=0.9200 eps=157.16
2-51 loss=0.0660 dev_acc=0.9600 test_acc=0.9267 eps=156.39
2-52 loss=0.0607 dev_acc=0.9600 test_acc=0.9089 eps=155.97
2-53 loss=0.0905 dev_acc=0.9756 test_acc=0.9244 eps=157.60
2-54 loss=0.0672 dev_acc=0.9800 test_acc=0.9067 eps=157.54
2-55 loss=0.0705 dev_acc=0.9556 test_acc=0.9133 eps=159.58
2-56 loss=0.0634 dev_acc=0.9778 test_acc=0.9089 eps=157.05
2-57 loss=0.0556 dev_acc=0.9844 test_acc=0.9333 eps=156.65
2-58 loss=0.0644 dev_acc=0.9756 test_acc=0.8978 eps=156.34
2-59 loss=0.0595 dev_acc=0.9822 test_acc=0.9156 eps=158.86
2-60 loss=0.0554 dev_acc=0.9822 test_acc=0.9156 eps=158.03
2-61 loss=0.0522 dev_acc=0.9800 test_acc=0.9067 eps=156.79
2-62 loss=0.0476 dev_acc=0.9844 test_acc=0.9244 eps=158.59
2-63 loss=0.0458 dev_acc=0.9711 test_acc=0.9222 eps=157.62
2-64 loss=0.0471 dev_acc=0.9822 test_acc=0.9289 eps=159.49
2-65 loss=0.0571 dev_acc=0.9756 test_acc=0.9089 eps=159.44
2-66 loss=0.0485 dev_acc=0.9822 test_acc=0.9222 eps=153.65
2-67 loss=0.0419 dev_acc=0.9867 test_acc=0.9244 eps=162.98
3-1 loss=3.0656 dev_acc=0.1844 test_acc=0.1667 eps=156.51
3-2 loss=2.5252 dev_acc=0.2867 test_acc=0.2978 eps=159.19
3-3 loss=2.1192 dev_acc=0.3756 test_acc=0.3600 eps=156.60
3-4 loss=1.6988 dev_acc=0.4911 test_acc=0.4578 eps=155.32
3-5 loss=1.3948 dev_acc=0.4067 test_acc=0.3644 eps=158.05
3-6 loss=1.0974 dev_acc=0.5822 test_acc=0.5200 eps=156.99
3-7 loss=0.8411 dev_acc=0.5889 test_acc=0.5244 eps=159.93
3-8 loss=0.7198 dev_acc=0.8267 test_acc=0.7844 eps=157.17
3-9 loss=0.5814 dev_acc=0.8378 test_acc=0.7822 eps=159.16
3-10 loss=0.4840 dev_acc=0.8111 test_acc=0.7489 eps=156.61
3-11 loss=0.4307 dev_acc=0.8400 test_acc=0.8133 eps=160.12
3-12 loss=0.3608 dev_acc=0.8711 test_acc=0.8156 eps=157.63
3-13 loss=0.3426 dev_acc=0.8956 test_acc=0.8556 eps=156.67
3-14 loss=0.2889 dev_acc=0.8867 test_acc=0.8356 eps=157.65
3-15 loss=0.2738 dev_acc=0.8844 test_acc=0.8422 eps=156.32
3-16 loss=0.2452 dev_acc=0.9156 test_acc=0.8622 eps=158.76
3-17 loss=0.2260 dev_acc=0.8978 test_acc=0.8556 eps=156.79
3-18 loss=0.2105 dev_acc=0.9044 test_acc=0.8689 eps=157.66
3-19 loss=0.1929 dev_acc=0.9244 test_acc=0.8800 eps=153.66
3-20 loss=0.1990 dev_acc=0.9511 test_acc=0.8800 eps=161.94
3-21 loss=0.1857 dev_acc=0.9222 test_acc=0.8689 eps=158.03
3-22 loss=0.1723 dev_acc=0.9089 test_acc=0.8578 eps=159.86
3-23 loss=0.1545 dev_acc=0.9578 test_acc=0.9089 eps=159.49
3-24 loss=0.1489 dev_acc=0.9311 test_acc=0.8778 eps=158.52
3-25 loss=0.1592 dev_acc=0.9156 test_acc=0.8489 eps=159.76
3-26 loss=0.1424 dev_acc=0.9556 test_acc=0.9000 eps=157.29
3-27 loss=0.1187 dev_acc=0.9467 test_acc=0.8867 eps=159.73
3-28 loss=0.1653 dev_acc=0.9578 test_acc=0.8911 eps=159.21
3-29 loss=0.1233 dev_acc=0.9556 test_acc=0.8733 eps=156.64
3-30 loss=0.1231 dev_acc=0.9667 test_acc=0.8933 eps=157.41
3-31 loss=0.1114 dev_acc=0.9600 test_acc=0.8933 eps=159.24
3-32 loss=0.1184 dev_acc=0.9622 test_acc=0.9044 eps=157.90
3-33 loss=0.1082 dev_acc=0.9356 test_acc=0.8956 eps=158.04
3-34 loss=0.1213 dev_acc=0.9711 test_acc=0.9089 eps=156.63
3-35 loss=0.1072 dev_acc=0.9667 test_acc=0.9022 eps=157.84
3-36 loss=0.0900 dev_acc=0.9689 test_acc=0.9111 eps=160.15
3-37 loss=0.0932 dev_acc=0.9689 test_acc=0.9089 eps=154.89
3-38 loss=0.0919 dev_acc=0.9422 test_acc=0.8978 eps=156.94
3-39 loss=0.0993 dev_acc=0.9600 test_acc=0.8933 eps=160.02
3-40 loss=0.0917 dev_acc=0.9089 test_acc=0.8467 eps=159.28
3-41 loss=0.0974 dev_acc=0.9822 test_acc=0.9022 eps=159.72
3-42 loss=0.0761 dev_acc=0.9644 test_acc=0.8889 eps=159.50
3-43 loss=0.0854 dev_acc=0.9533 test_acc=0.8778 eps=158.86
3-44 loss=0.0708 dev_acc=0.9911 test_acc=0.9222 eps=156.40
3-45 loss=0.0711 dev_acc=0.9911 test_acc=0.9289 eps=158.20
3-46 loss=0.0782 dev_acc=0.9533 test_acc=0.8711 eps=158.44
3-47 loss=0.0761 dev_acc=0.9889 test_acc=0.9133 eps=158.12
3-48 loss=0.0564 dev_acc=0.9800 test_acc=0.8911 eps=159.01
3-49 loss=0.0796 dev_acc=0.9867 test_acc=0.9022 eps=157.59
3-50 loss=0.0655 dev_acc=0.9822 test_acc=0.9222 eps=157.46
3-51 loss=0.0619 dev_acc=0.9889 test_acc=0.9200 eps=157.64
3-52 loss=0.0631 dev_acc=0.9911 test_acc=0.9356 eps=159.84
3-53 loss=0.0578 dev_acc=0.9889 test_acc=0.9178 eps=159.36
3-54 loss=0.0636 dev_acc=0.9822 test_acc=0.9111 eps=157.68
3-55 loss=0.0517 dev_acc=0.9911 test_acc=0.9289 eps=161.15
3-56 loss=0.0417 dev_acc=0.9889 test_acc=0.9311 eps=158.97
3-57 loss=0.0441 dev_acc=0.9933 test_acc=0.9200 eps=156.30
3-58 loss=0.0599 dev_acc=0.9867 test_acc=0.9378 eps=154.80
3-59 loss=0.0515 dev_acc=0.9778 test_acc=0.9244 eps=158.81
3-60 loss=0.0458 dev_acc=0.9822 test_acc=0.9200 eps=158.00
3-61 loss=0.0437 dev_acc=0.9844 test_acc=0.9333 eps=158.36
3-62 loss=0.0411 dev_acc=0.9911 test_acc=0.9222 eps=157.27
3-63 loss=0.0354 dev_acc=0.9733 test_acc=0.9133 eps=156.67
3-64 loss=0.0377 dev_acc=0.9822 test_acc=0.9267 eps=159.70
3-65 loss=0.0325 dev_acc=0.9844 test_acc=0.9267 eps=158.23
3-66 loss=0.0314 dev_acc=0.9844 test_acc=0.9289 eps=157.83
3-67 loss=0.0351 dev_acc=0.9756 test_acc=0.9200 eps=155.87
3-68 loss=0.0363 dev_acc=0.9867 test_acc=0.9200 eps=159.98
3-69 loss=0.0288 dev_acc=0.9911 test_acc=0.9289 eps=160.50
3-70 loss=0.0343 dev_acc=0.9867 test_acc=0.9067 eps=155.63
3-71 loss=0.0190 dev_acc=0.9889 test_acc=0.9311 eps=157.10
3-72 loss=0.0246 dev_acc=0.9867 test_acc=0.9244 eps=159.29
3-73 loss=0.0209 dev_acc=0.9933 test_acc=0.9289 eps=159.12
3-74 loss=0.0206 dev_acc=0.9911 test_acc=0.9333 eps=156.75
3-75 loss=0.0216 dev_acc=0.9933 test_acc=0.9267 eps=155.09
3-76 loss=0.0239 dev_acc=0.9933 test_acc=0.9111 eps=159.59
3-77 loss=0.0147 dev_acc=0.9867 test_acc=0.9111 eps=157.50
3-78 loss=0.0247 dev_acc=0.9911 test_acc=0.9244 eps=159.90
3-79 loss=0.0157 dev_acc=0.9933 test_acc=0.9244 eps=158.07
3-80 loss=0.0168 dev_acc=0.9956 test_acc=0.9267 eps=156.14
3-81 loss=0.0134 dev_acc=0.9933 test_acc=0.9311 eps=156.91
3-82 loss=0.0085 dev_acc=0.9933 test_acc=0.9200 eps=158.38
3-83 loss=0.0171 dev_acc=0.9933 test_acc=0.9200 eps=159.77
4-1 loss=3.0750 dev_acc=0.2489 test_acc=0.2200 eps=155.68
4-2 loss=2.5480 dev_acc=0.2311 test_acc=0.2556 eps=158.80
4-3 loss=2.2418 dev_acc=0.3067 test_acc=0.2911 eps=157.98
4-4 loss=1.8691 dev_acc=0.4444 test_acc=0.4622 eps=157.64
4-5 loss=1.4814 dev_acc=0.5267 test_acc=0.5622 eps=159.29
4-6 loss=1.1509 dev_acc=0.5600 test_acc=0.5844 eps=157.88
4-7 loss=0.9098 dev_acc=0.7444 test_acc=0.7378 eps=156.49
4-8 loss=0.7935 dev_acc=0.7778 test_acc=0.7867 eps=159.65
4-9 loss=0.6890 dev_acc=0.8022 test_acc=0.7956 eps=159.91
4-10 loss=0.5892 dev_acc=0.7733 test_acc=0.7778 eps=158.84
4-11 loss=0.5058 dev_acc=0.8644 test_acc=0.8533 eps=157.65
4-12 loss=0.4350 dev_acc=0.8422 test_acc=0.8444 eps=159.97
4-13 loss=0.3814 dev_acc=0.8889 test_acc=0.8556 eps=154.57
4-14 loss=0.3674 dev_acc=0.8889 test_acc=0.8578 eps=156.94
4-15 loss=0.3244 dev_acc=0.8844 test_acc=0.8644 eps=159.77
4-16 loss=0.2757 dev_acc=0.9133 test_acc=0.8822 eps=158.43
4-17 loss=0.2604 dev_acc=0.9044 test_acc=0.8511 eps=155.80
4-18 loss=0.2643 dev_acc=0.9133 test_acc=0.8867 eps=161.75
4-19 loss=0.2307 dev_acc=0.8889 test_acc=0.8356 eps=157.93
4-20 loss=0.2164 dev_acc=0.9333 test_acc=0.9022 eps=157.80
4-21 loss=0.2046 dev_acc=0.9311 test_acc=0.8911 eps=159.04
4-22 loss=0.1912 dev_acc=0.8867 test_acc=0.8400 eps=160.55
4-23 loss=0.2008 dev_acc=0.9289 test_acc=0.9067 eps=158.23
4-24 loss=0.1670 dev_acc=0.9356 test_acc=0.9111 eps=159.30
4-25 loss=0.1752 dev_acc=0.9444 test_acc=0.9089 eps=155.27
4-26 loss=0.1645 dev_acc=0.9533 test_acc=0.9222 eps=158.31
4-27 loss=0.1519 dev_acc=0.9378 test_acc=0.9067 eps=158.83
4-28 loss=0.1437 dev_acc=0.9311 test_acc=0.9022 eps=159.96
4-29 loss=0.1529 dev_acc=0.9467 test_acc=0.9133 eps=158.10
4-30 loss=0.1460 dev_acc=0.9444 test_acc=0.9067 eps=159.06
4-31 loss=0.1178 dev_acc=0.9533 test_acc=0.9200 eps=161.74
4-32 loss=0.1236 dev_acc=0.9467 test_acc=0.9200 eps=157.49
4-33 loss=0.1085 dev_acc=0.9511 test_acc=0.9200 eps=157.83
4-34 loss=0.1168 dev_acc=0.9244 test_acc=0.8800 eps=161.73
4-35 loss=0.1152 dev_acc=0.9689 test_acc=0.9267 eps=155.05
4-36 loss=0.0985 dev_acc=0.9622 test_acc=0.9089 eps=157.70
4-37 loss=0.1073 dev_acc=0.9578 test_acc=0.9289 eps=162.10
4-38 loss=0.1138 dev_acc=0.9600 test_acc=0.9200 eps=158.30
4-39 loss=0.0957 dev_acc=0.9622 test_acc=0.8889 eps=158.27
4-40 loss=0.1075 dev_acc=0.9422 test_acc=0.9044 eps=159.52
4-41 loss=0.0930 dev_acc=0.9622 test_acc=0.9111 eps=160.79
4-42 loss=0.0881 dev_acc=0.9711 test_acc=0.9400 eps=155.93
4-43 loss=0.0784 dev_acc=0.9689 test_acc=0.9356 eps=160.05
4-44 loss=0.0873 dev_acc=0.9711 test_acc=0.9356 eps=161.33
