1-10 loss=0.4903 dev_acc=0.9000 test_acc=0.8533 eps=213.52
1-11 loss=0.4395 dev_acc=0.4400 test_acc=0.4044 eps=212.84
1-12 loss=0.4226 dev_acc=0.9111 test_acc=0.8400 eps=212.64
1-13 loss=0.3447 dev_acc=0.9378 test_acc=0.8689 eps=223.73
1-14 loss=0.3106 dev_acc=0.8022 test_acc=0.7822 eps=212.44
1-15 loss=0.2590 dev_acc=0.9533 test_acc=0.9000 eps=211.17
1-16 loss=0.2615 dev_acc=0.9400 test_acc=0.8800 eps=217.36
1-17 loss=0.2119 dev_acc=0.9667 test_acc=0.9111 eps=223.22
1-18 loss=0.2103 dev_acc=0.9156 test_acc=0.8511 eps=210.22
1-19 loss=0.1935 dev_acc=0.9511 test_acc=0.9089 eps=213.23
1-20 loss=0.1677 dev_acc=0.9511 test_acc=0.8933 eps=217.66
1-21 loss=0.2178 dev_acc=0.9467 test_acc=0.9156 eps=216.27
1-22 loss=0.1582 dev_acc=0.9578 test_acc=0.9244 eps=216.47
1-23 loss=0.1322 dev_acc=0.9711 test_acc=0.9067 eps=220.99
1-24 loss=0.1121 dev_acc=0.9711 test_acc=0.9200 eps=216.20
1-25 loss=0.1435 dev_acc=0.9556 test_acc=0.9044 eps=213.80
1-26 loss=0.1391 dev_acc=0.9644 test_acc=0.9333 eps=218.27
1-27 loss=0.1024 dev_acc=0.9622 test_acc=0.9311 eps=214.48
1-28 loss=0.1487 dev_acc=0.9622 test_acc=0.9178 eps=216.16
1-29 loss=0.1091 dev_acc=0.9800 test_acc=0.9289 eps=217.96
1-30 loss=0.0884 dev_acc=0.9689 test_acc=0.9178 eps=209.90
1-31 loss=0.0836 dev_acc=0.9756 test_acc=0.9222 eps=214.07
1-32 loss=0.1023 dev_acc=0.9800 test_acc=0.9222 eps=221.65
1-33 loss=0.1156 dev_acc=0.9733 test_acc=0.9200 eps=221.88
1-34 loss=0.0762 dev_acc=0.9778 test_acc=0.9200 eps=216.80
1-35 loss=0.0914 dev_acc=0.9822 test_acc=0.9000 eps=222.94
1-36 loss=0.0946 dev_acc=0.9844 test_acc=0.9244 eps=213.19
1-37 loss=0.0917 dev_acc=0.9844 test_acc=0.9178 eps=217.58
1-38 loss=0.0703 dev_acc=0.9822 test_acc=0.9222 eps=218.44
1-39 loss=0.0682 dev_acc=0.9822 test_acc=0.9289 eps=219.42
1-40 loss=0.0563 dev_acc=0.9800 test_acc=0.9333 eps=211.05
1-41 loss=0.0580 dev_acc=0.9822 test_acc=0.9267 eps=223.07
1-42 loss=0.0732 dev_acc=0.9889 test_acc=0.9289 eps=214.14
1-43 loss=0.0557 dev_acc=0.9822 test_acc=0.9267 eps=216.47
1-44 loss=0.0468 dev_acc=0.9889 test_acc=0.9333 eps=219.59
1-45 loss=0.0530 dev_acc=0.9844 test_acc=0.9289 eps=217.91
1-46 loss=0.0489 dev_acc=0.9800 test_acc=0.9178 eps=213.77
1-47 loss=0.0590 dev_acc=0.9933 test_acc=0.9222 eps=214.78
1-48 loss=0.0631 dev_acc=0.9889 test_acc=0.9267 eps=222.04
1-49 loss=0.0436 dev_acc=0.9933 test_acc=0.9244 eps=214.28
1-50 loss=0.0427 dev_acc=0.9956 test_acc=0.9267 eps=214.85
1-51 loss=0.0441 dev_acc=0.9956 test_acc=0.9333 eps=212.63
2-1 loss=3.2270 dev_acc=0.1400 test_acc=0.1289 eps=219.53
2-2 loss=2.7771 dev_acc=0.1911 test_acc=0.2067 eps=217.02
2-3 loss=2.5478 dev_acc=0.2844 test_acc=0.2600 eps=220.05
2-4 loss=2.1173 dev_acc=0.4533 test_acc=0.4489 eps=216.05
2-5 loss=1.7670 dev_acc=0.2867 test_acc=0.2822 eps=213.00
2-6 loss=1.4288 dev_acc=0.6289 test_acc=0.6556 eps=212.71
2-7 loss=1.0305 dev_acc=0.7156 test_acc=0.7600 eps=219.55
2-8 loss=0.8234 dev_acc=0.7533 test_acc=0.7800 eps=218.61
2-9 loss=0.6847 dev_acc=0.8267 test_acc=0.8067 eps=212.00
2-10 loss=0.5497 dev_acc=0.8289 test_acc=0.8689 eps=214.34
2-11 loss=0.4761 dev_acc=0.8844 test_acc=0.8800 eps=218.64
2-12 loss=0.4025 dev_acc=0.9044 test_acc=0.9044 eps=224.44
2-13 loss=0.3904 dev_acc=0.8889 test_acc=0.8800 eps=211.97
2-14 loss=0.3276 dev_acc=0.9178 test_acc=0.9133 eps=214.40
2-15 loss=0.3054 dev_acc=0.8600 test_acc=0.8356 eps=217.89
2-16 loss=0.2648 dev_acc=0.9311 test_acc=0.9044 eps=208.70
2-17 loss=0.2387 dev_acc=0.9044 test_acc=0.8800 eps=216.68
2-18 loss=0.2216 dev_acc=0.9089 test_acc=0.8867 eps=216.71
2-19 loss=0.2518 dev_acc=0.9311 test_acc=0.9111 eps=220.65
2-20 loss=0.2208 dev_acc=0.9111 test_acc=0.8911 eps=224.27
2-21 loss=0.2014 dev_acc=0.9489 test_acc=0.9289 eps=213.94
2-22 loss=0.1702 dev_acc=0.9556 test_acc=0.9333 eps=217.30
2-23 loss=0.1850 dev_acc=0.9533 test_acc=0.9244 eps=215.24
2-24 loss=0.1579 dev_acc=0.9578 test_acc=0.9289 eps=223.71
2-25 loss=0.1539 dev_acc=0.9422 test_acc=0.9267 eps=218.99
2-26 loss=0.1395 dev_acc=0.9333 test_acc=0.9178 eps=221.37
2-27 loss=0.1575 dev_acc=0.9467 test_acc=0.9067 eps=216.53
2-28 loss=0.1208 dev_acc=0.9444 test_acc=0.9311 eps=221.60
2-29 loss=0.1142 dev_acc=0.9622 test_acc=0.9222 eps=215.57
2-30 loss=0.1349 dev_acc=0.9556 test_acc=0.9356 eps=217.06
2-31 loss=0.1121 dev_acc=0.9444 test_acc=0.9222 eps=216.96
2-32 loss=0.1096 dev_acc=0.9533 test_acc=0.9267 eps=221.87
2-33 loss=0.1181 dev_acc=0.9533 test_acc=0.9222 eps=214.63
2-34 loss=0.0958 dev_acc=0.9667 test_acc=0.9422 eps=211.86
2-35 loss=0.0845 dev_acc=0.9733 test_acc=0.9467 eps=213.03
2-36 loss=0.0896 dev_acc=0.9556 test_acc=0.9267 eps=212.89
2-37 loss=0.1018 dev_acc=0.9556 test_acc=0.9333 eps=221.20
2-38 loss=0.1122 dev_acc=0.9756 test_acc=0.9400 eps=218.68
2-39 loss=0.1001 dev_acc=0.9689 test_acc=0.9511 eps=218.10
2-40 loss=0.0876 dev_acc=0.9711 test_acc=0.9422 eps=218.06
2-41 loss=0.0722 dev_acc=0.9733 test_acc=0.9356 eps=213.82
2-42 loss=0.0763 dev_acc=0.9689 test_acc=0.9422 eps=214.53
2-43 loss=0.0702 dev_acc=0.9689 test_acc=0.9556 eps=222.78
2-44 loss=0.1094 dev_acc=0.9689 test_acc=0.9422 eps=217.49
2-45 loss=0.0664 dev_acc=0.9778 test_acc=0.9511 eps=217.79
2-46 loss=0.0629 dev_acc=0.9711 test_acc=0.9400 eps=216.31
2-47 loss=0.0608 dev_acc=0.9756 test_acc=0.9511 eps=217.11
2-48 loss=0.0586 dev_acc=0.9689 test_acc=0.9356 eps=218.49
2-49 loss=0.0518 dev_acc=0.9622 test_acc=0.9533 eps=216.03
2-50 loss=0.0672 dev_acc=0.9644 test_acc=0.9267 eps=218.26
2-51 loss=0.0585 dev_acc=0.9711 test_acc=0.9400 eps=212.06
2-52 loss=0.0477 dev_acc=0.9733 test_acc=0.9467 eps=216.08
2-53 loss=0.0573 dev_acc=0.9689 test_acc=0.9267 eps=215.62
2-54 loss=0.0555 dev_acc=0.9844 test_acc=0.9467 eps=217.00
2-55 loss=0.0431 dev_acc=0.9822 test_acc=0.9467 eps=215.81
2-56 loss=0.0489 dev_acc=0.9778 test_acc=0.9489 eps=214.44
2-57 loss=0.0386 dev_acc=0.9711 test_acc=0.9489 eps=217.52
2-58 loss=0.0375 dev_acc=0.9800 test_acc=0.9556 eps=223.94
2-59 loss=0.0483 dev_acc=0.9689 test_acc=0.9444 eps=216.49
2-60 loss=0.0464 dev_acc=0.9822 test_acc=0.9378 eps=214.25
2-61 loss=0.0369 dev_acc=0.9822 test_acc=0.9489 eps=215.51
2-62 loss=0.0316 dev_acc=0.9822 test_acc=0.9578 eps=217.20
2-63 loss=0.0265 dev_acc=0.9733 test_acc=0.9422 eps=219.29
2-64 loss=0.0301 dev_acc=0.9733 test_acc=0.9489 eps=213.57
2-65 loss=0.0387 dev_acc=0.9778 test_acc=0.9444 eps=214.69
2-66 loss=0.0258 dev_acc=0.9822 test_acc=0.9578 eps=218.83
2-67 loss=0.0242 dev_acc=0.9822 test_acc=0.9489 eps=216.56
2-68 loss=0.0347 dev_acc=0.9667 test_acc=0.9422 eps=213.77
2-69 loss=0.0312 dev_acc=0.9822 test_acc=0.9556 eps=219.88
2-70 loss=0.0348 dev_acc=0.9800 test_acc=0.9578 eps=217.79
2-71 loss=0.0206 dev_acc=0.9800 test_acc=0.9511 eps=213.48
2-72 loss=0.0238 dev_acc=0.9778 test_acc=0.9511 eps=212.99
2-73 loss=0.0282 dev_acc=0.9778 test_acc=0.9556 eps=212.12
2-74 loss=0.0173 dev_acc=0.9844 test_acc=0.9600 eps=213.64
2-75 loss=0.0227 dev_acc=0.9556 test_acc=0.9422 eps=222.03
2-76 loss=0.0285 dev_acc=0.9667 test_acc=0.9467 eps=218.07
