1-13 loss=2.0818 dev_acc=0.3622 test_acc=0.3689 eps=175.60
1-14 loss=1.9686 dev_acc=0.3200 test_acc=0.3156 eps=174.20
1-15 loss=1.8980 dev_acc=0.2600 test_acc=0.2756 eps=177.35
1-16 loss=1.8005 dev_acc=0.4178 test_acc=0.3600 eps=173.73
1-17 loss=1.7137 dev_acc=0.3733 test_acc=0.3244 eps=176.73
1-18 loss=1.6683 dev_acc=0.1600 test_acc=0.1533 eps=176.23
1-19 loss=1.5698 dev_acc=0.4667 test_acc=0.4622 eps=173.21
1-20 loss=1.5100 dev_acc=0.2022 test_acc=0.1778 eps=175.35
1-21 loss=1.4271 dev_acc=0.4511 test_acc=0.4667 eps=172.95
1-22 loss=1.3582 dev_acc=0.5867 test_acc=0.5378 eps=173.51
1-23 loss=1.2441 dev_acc=0.5644 test_acc=0.5467 eps=172.38
1-24 loss=1.1672 dev_acc=0.5800 test_acc=0.5533 eps=170.52
1-25 loss=1.0720 dev_acc=0.6867 test_acc=0.6044 eps=172.05
1-26 loss=1.0216 dev_acc=0.6400 test_acc=0.6022 eps=168.76
1-27 loss=0.9204 dev_acc=0.4356 test_acc=0.3933 eps=170.50
1-28 loss=0.8641 dev_acc=0.4311 test_acc=0.4356 eps=170.01
1-29 loss=0.8456 dev_acc=0.7022 test_acc=0.6644 eps=168.40
1-30 loss=0.7928 dev_acc=0.7822 test_acc=0.7133 eps=172.65
1-31 loss=0.6997 dev_acc=0.7844 test_acc=0.6867 eps=171.04
1-32 loss=0.6971 dev_acc=0.5178 test_acc=0.4378 eps=173.82
1-33 loss=0.6390 dev_acc=0.6444 test_acc=0.5667 eps=175.22
1-34 loss=0.6210 dev_acc=0.8311 test_acc=0.7222 eps=173.26
1-35 loss=0.5362 dev_acc=0.7711 test_acc=0.6689 eps=175.88
1-36 loss=0.5186 dev_acc=0.8533 test_acc=0.7333 eps=173.63
1-37 loss=0.4900 dev_acc=0.8378 test_acc=0.7378 eps=175.65
1-38 loss=0.4556 dev_acc=0.8533 test_acc=0.7289 eps=174.89
