0-81 loss=0.0337 dev_acc=0.9622 test_acc=0.6978 eps=124.11
1-1 loss=3.3736 dev_acc=0.0844 test_acc=0.0822 eps=124.27
1-2 loss=3.0226 dev_acc=0.1244 test_acc=0.1378 eps=123.07
1-3 loss=2.9195 dev_acc=0.1489 test_acc=0.1689 eps=124.25
1-4 loss=2.8001 dev_acc=0.1356 test_acc=0.1578 eps=123.16
1-5 loss=2.7501 dev_acc=0.1844 test_acc=0.1444 eps=123.00
1-6 loss=2.7090 dev_acc=0.1844 test_acc=0.2044 eps=125.66
1-7 loss=2.6300 dev_acc=0.1644 test_acc=0.2089 eps=126.27
1-8 loss=2.5542 dev_acc=0.1844 test_acc=0.2133 eps=125.40
1-9 loss=2.5482 dev_acc=0.2400 test_acc=0.2578 eps=126.32
1-10 loss=2.4775 dev_acc=0.2044 test_acc=0.2000 eps=125.33
1-11 loss=2.4446 dev_acc=0.1911 test_acc=0.2200 eps=124.99
1-12 loss=2.3805 dev_acc=0.2533 test_acc=0.2600 eps=126.19
1-13 loss=2.3421 dev_acc=0.1933 test_acc=0.1867 eps=124.05
1-14 loss=2.2279 dev_acc=0.2600 test_acc=0.2911 eps=125.07
1-15 loss=2.1143 dev_acc=0.3556 test_acc=0.3422 eps=125.95
1-16 loss=2.0009 dev_acc=0.2978 test_acc=0.3311 eps=127.17
1-17 loss=1.9391 dev_acc=0.3333 test_acc=0.3556 eps=125.35
1-18 loss=1.8637 dev_acc=0.3333 test_acc=0.3156 eps=124.95
1-19 loss=1.8012 dev_acc=0.3556 test_acc=0.3733 eps=123.96
1-20 loss=1.7591 dev_acc=0.3956 test_acc=0.4089 eps=124.37
1-21 loss=1.6972 dev_acc=0.2356 test_acc=0.2622 eps=123.94
1-22 loss=1.6463 dev_acc=0.4267 test_acc=0.4222 eps=124.44
1-23 loss=1.5640 dev_acc=0.4356 test_acc=0.4556 eps=120.55
1-24 loss=1.4842 dev_acc=0.4578 test_acc=0.4333 eps=124.28
1-25 loss=1.4545 dev_acc=0.5289 test_acc=0.5089 eps=125.61
1-26 loss=1.3591 dev_acc=0.5067 test_acc=0.5156 eps=125.06
1-27 loss=1.3041 dev_acc=0.5178 test_acc=0.5200 eps=125.48
1-28 loss=1.2713 dev_acc=0.4111 test_acc=0.4133 eps=124.72
1-29 loss=1.2129 dev_acc=0.5444 test_acc=0.5422 eps=126.59
1-30 loss=1.1393 dev_acc=0.5867 test_acc=0.5089 eps=125.29
1-31 loss=1.1035 dev_acc=0.6200 test_acc=0.5778 eps=124.50
1-32 loss=1.0651 dev_acc=0.6156 test_acc=0.5756 eps=125.58
1-33 loss=1.0197 dev_acc=0.6556 test_acc=0.5867 eps=125.01
1-34 loss=0.9406 dev_acc=0.5644 test_acc=0.5022 eps=125.09
1-35 loss=0.9206 dev_acc=0.5867 test_acc=0.5311 eps=125.47
1-36 loss=0.8714 dev_acc=0.7089 test_acc=0.5844 eps=125.23
1-37 loss=0.8401 dev_acc=0.6778 test_acc=0.5822 eps=122.23
1-38 loss=0.7688 dev_acc=0.6133 test_acc=0.5333 eps=123.08
1-39 loss=0.7581 dev_acc=0.7000 test_acc=0.5867 eps=122.20
1-40 loss=0.7148 dev_acc=0.7533 test_acc=0.6044 eps=124.48
1-41 loss=0.6630 dev_acc=0.6800 test_acc=0.6067 eps=125.93
1-42 loss=0.6360 dev_acc=0.7022 test_acc=0.5756 eps=124.01
1-43 loss=0.5967 dev_acc=0.6578 test_acc=0.5489 eps=124.98
1-44 loss=0.5643 dev_acc=0.7756 test_acc=0.6444 eps=124.52
1-45 loss=0.5199 dev_acc=0.8333 test_acc=0.6733 eps=124.00
1-46 loss=0.4863 dev_acc=0.8178 test_acc=0.6378 eps=122.98
1-47 loss=0.4688 dev_acc=0.8689 test_acc=0.6533 eps=122.85
1-48 loss=0.4478 dev_acc=0.8489 test_acc=0.6600 eps=123.86
1-49 loss=0.4173 dev_acc=0.8578 test_acc=0.6689 eps=122.34
1-50 loss=0.3724 dev_acc=0.8756 test_acc=0.6511 eps=124.10
1-51 loss=0.3901 dev_acc=0.8800 test_acc=0.6800 eps=124.52
1-52 loss=0.3522 dev_acc=0.8111 test_acc=0.6644 eps=126.48
1-53 loss=0.3108 dev_acc=0.8622 test_acc=0.6800 eps=125.10
1-54 loss=0.2894 dev_acc=0.9111 test_acc=0.7067 eps=126.33
1-55 loss=0.2436 dev_acc=0.9089 test_acc=0.6889 eps=126.28
1-56 loss=0.2359 dev_acc=0.9156 test_acc=0.7111 eps=124.63
1-57 loss=0.2482 dev_acc=0.9022 test_acc=0.6667 eps=126.62
1-58 loss=0.2210 dev_acc=0.9022 test_acc=0.6622 eps=125.91
1-59 loss=0.2255 dev_acc=0.9111 test_acc=0.6756 eps=126.42
1-60 loss=0.2022 dev_acc=0.9311 test_acc=0.7044 eps=124.93
1-61 loss=0.1783 dev_acc=0.9378 test_acc=0.6889 eps=125.81
1-62 loss=0.1659 dev_acc=0.9467 test_acc=0.6978 eps=126.94
1-63 loss=0.1317 dev_acc=0.9533 test_acc=0.6933 eps=125.92
1-64 loss=0.1463 dev_acc=0.9022 test_acc=0.6778 eps=126.35
1-65 loss=0.1325 dev_acc=0.9556 test_acc=0.6756 eps=124.38
1-66 loss=0.1217 dev_acc=0.9267 test_acc=0.6711 eps=123.93
1-67 loss=0.1039 dev_acc=0.9489 test_acc=0.7022 eps=125.50
1-68 loss=0.0827 dev_acc=0.9378 test_acc=0.6556 eps=123.34
1-69 loss=0.1204 dev_acc=0.9600 test_acc=0.7022 eps=122.71
1-70 loss=0.0986 dev_acc=0.9711 test_acc=0.6733 eps=122.65
1-71 loss=0.0888 dev_acc=0.9644 test_acc=0.6733 eps=123.10
1-72 loss=0.0845 dev_acc=0.9556 test_acc=0.6844 eps=123.27
1-73 loss=0.0658 dev_acc=0.9556 test_acc=0.6622 eps=127.12
1-74 loss=0.0865 dev_acc=0.9756 test_acc=0.7089 eps=125.53
1-75 loss=0.0730 dev_acc=0.9600 test_acc=0.6756 eps=125.48
1-76 loss=0.0642 dev_acc=0.9733 test_acc=0.6756 eps=125.03
1-77 loss=0.0545 dev_acc=0.9778 test_acc=0.6644 eps=126.39
1-78 loss=0.0374 dev_acc=0.9711 test_acc=0.6867 eps=126.56
1-79 loss=0.0385 dev_acc=0.9800 test_acc=0.7089 eps=126.67
1-80 loss=0.0739 dev_acc=0.9022 test_acc=0.6022 eps=127.96
1-81 loss=0.0518 dev_acc=0.9533 test_acc=0.6867 eps=127.03
2-1 loss=3.3795 dev_acc=0.1422 test_acc=0.1378 eps=127.32
2-2 loss=2.9837 dev_acc=0.1400 test_acc=0.1511 eps=126.40
2-3 loss=2.8940 dev_acc=0.1733 test_acc=0.1822 eps=125.07
2-4 loss=2.7971 dev_acc=0.0756 test_acc=0.0689 eps=124.26
2-5 loss=2.7566 dev_acc=0.1711 test_acc=0.2022 eps=125.43
2-6 loss=2.7089 dev_acc=0.1778 test_acc=0.2067 eps=123.89
2-7 loss=2.6566 dev_acc=0.2156 test_acc=0.2511 eps=125.84
2-8 loss=2.5629 dev_acc=0.1844 test_acc=0.2067 eps=124.71
2-9 loss=2.5941 dev_acc=0.1067 test_acc=0.1222 eps=125.06
2-10 loss=2.5125 dev_acc=0.2556 test_acc=0.2422 eps=127.06
2-11 loss=2.4664 dev_acc=0.2733 test_acc=0.2489 eps=125.91
2-12 loss=2.4120 dev_acc=0.1889 test_acc=0.1956 eps=125.47
2-13 loss=2.3206 dev_acc=0.2911 test_acc=0.3178 eps=124.75
2-14 loss=2.2190 dev_acc=0.2200 test_acc=0.1911 eps=124.59
2-15 loss=2.1408 dev_acc=0.1733 test_acc=0.1867 eps=123.39
2-16 loss=2.0479 dev_acc=0.3622 test_acc=0.3600 eps=123.49
2-17 loss=1.9705 dev_acc=0.3356 test_acc=0.3356 eps=123.87
2-18 loss=1.9441 dev_acc=0.4089 test_acc=0.3844 eps=123.54
2-19 loss=1.8371 dev_acc=0.3622 test_acc=0.3244 eps=124.47
2-20 loss=1.7838 dev_acc=0.4933 test_acc=0.4222 eps=123.87
2-21 loss=1.6892 dev_acc=0.4756 test_acc=0.4667 eps=123.40
2-22 loss=1.6541 dev_acc=0.2956 test_acc=0.2489 eps=123.99
2-23 loss=1.5920 dev_acc=0.4044 test_acc=0.3400 eps=124.77
2-24 loss=1.5310 dev_acc=0.5933 test_acc=0.5111 eps=123.79
2-25 loss=1.4236 dev_acc=0.5156 test_acc=0.4378 eps=125.93
2-26 loss=1.3701 dev_acc=0.4467 test_acc=0.3422 eps=125.45
2-27 loss=1.2885 dev_acc=0.5933 test_acc=0.5356 eps=124.24
2-28 loss=1.2371 dev_acc=0.6000 test_acc=0.5333 eps=125.07
2-29 loss=1.1433 dev_acc=0.6533 test_acc=0.5556 eps=125.25
2-30 loss=1.1219 dev_acc=0.7089 test_acc=0.6089 eps=124.59
2-31 loss=1.0388 dev_acc=0.6733 test_acc=0.6089 eps=125.80
2-32 loss=0.9727 dev_acc=0.6822 test_acc=0.5689 eps=125.52
2-33 loss=0.9561 dev_acc=0.7111 test_acc=0.5800 eps=124.86
2-34 loss=0.9033 dev_acc=0.6711 test_acc=0.6000 eps=124.90
2-35 loss=0.8345 dev_acc=0.8000 test_acc=0.6000 eps=126.42
2-36 loss=0.7801 dev_acc=0.7644 test_acc=0.6400 eps=126.16
2-37 loss=0.7399 dev_acc=0.7867 test_acc=0.6356 eps=125.91
2-38 loss=0.6947 dev_acc=0.6422 test_acc=0.5333 eps=125.05
2-39 loss=0.6617 dev_acc=0.7467 test_acc=0.6489 eps=127.71
2-40 loss=0.6200 dev_acc=0.7911 test_acc=0.6400 eps=127.51
2-41 loss=0.5734 dev_acc=0.7911 test_acc=0.6756 eps=125.55
2-42 loss=0.5301 dev_acc=0.8289 test_acc=0.6800 eps=127.18
2-43 loss=0.5156 dev_acc=0.8267 test_acc=0.6622 eps=125.64
2-44 loss=0.4766 dev_acc=0.7867 test_acc=0.6422 eps=126.85
2-45 loss=0.4594 dev_acc=0.8200 test_acc=0.6511 eps=126.28
2-46 loss=0.4273 dev_acc=0.8844 test_acc=0.6489 eps=125.18
2-47 loss=0.3817 dev_acc=0.8756 test_acc=0.6622 eps=126.04
2-48 loss=0.3533 dev_acc=0.8867 test_acc=0.6889 eps=126.53
2-49 loss=0.3291 dev_acc=0.8756 test_acc=0.6733 eps=126.57
2-50 loss=0.3265 dev_acc=0.7978 test_acc=0.6356 eps=127.61
2-51 loss=0.2792 dev_acc=0.9222 test_acc=0.7022 eps=125.77
2-52 loss=0.2558 dev_acc=0.8956 test_acc=0.6800 eps=126.83
2-53 loss=0.2448 dev_acc=0.9200 test_acc=0.7111 eps=126.19
2-54 loss=0.2104 dev_acc=0.8200 test_acc=0.6378 eps=125.84
2-55 loss=0.2058 dev_acc=0.9178 test_acc=0.7133 eps=125.84
2-56 loss=0.2105 dev_acc=0.9378 test_acc=0.7089 eps=125.61
2-57 loss=0.1947 dev_acc=0.9111 test_acc=0.6667 eps=124.81
2-58 loss=0.1709 dev_acc=0.9356 test_acc=0.6933 eps=125.81
2-59 loss=0.1753 dev_acc=0.9244 test_acc=0.6578 eps=126.32
2-60 loss=0.1624 dev_acc=0.8800 test_acc=0.6378 eps=125.11
2-61 loss=0.1480 dev_acc=0.9600 test_acc=0.7200 eps=126.63
2-62 loss=0.1221 dev_acc=0.9556 test_acc=0.7044 eps=125.67
2-63 loss=0.1123 dev_acc=0.9156 test_acc=0.6533 eps=125.69
2-64 loss=0.1311 dev_acc=0.9022 test_acc=0.6511 eps=124.97
2-65 loss=0.1070 dev_acc=0.9756 test_acc=0.6978 eps=124.98
2-66 loss=0.1042 dev_acc=0.9822 test_acc=0.7222 eps=124.09
2-67 loss=0.1089 dev_acc=0.9733 test_acc=0.6956 eps=124.80
2-68 loss=0.0732 dev_acc=0.9644 test_acc=0.6933 eps=125.35
2-69 loss=0.0923 dev_acc=0.9444 test_acc=0.6711 eps=125.07
2-70 loss=0.0898 dev_acc=0.9733 test_acc=0.7156 eps=125.99
2-71 loss=0.0568 dev_acc=0.9778 test_acc=0.7067 eps=124.44
2-72 loss=0.0567 dev_acc=0.9844 test_acc=0.6933 eps=127.69
2-73 loss=0.0584 dev_acc=0.9778 test_acc=0.7022 eps=124.95
2-74 loss=0.0681 dev_acc=0.7000 test_acc=0.4933 eps=124.80
2-75 loss=0.0879 dev_acc=0.9444 test_acc=0.6800 eps=126.16
2-76 loss=0.0810 dev_acc=0.9844 test_acc=0.7067 eps=125.11
2-77 loss=0.0397 dev_acc=0.9733 test_acc=0.7000 eps=126.46
2-78 loss=0.0309 dev_acc=0.9933 test_acc=0.7156 eps=125.69
2-79 loss=0.0317 dev_acc=0.9844 test_acc=0.6933 eps=126.07
2-80 loss=0.0423 dev_acc=0.9244 test_acc=0.6333 eps=126.96
2-81 loss=0.0722 dev_acc=0.9889 test_acc=0.6778 eps=125.02
2-82 loss=0.0372 dev_acc=0.9889 test_acc=0.6889 eps=125.71
2-83 loss=0.0437 dev_acc=0.9822 test_acc=0.6778 eps=126.02
2-84 loss=0.0290 dev_acc=0.9911 test_acc=0.6844 eps=126.31
2-85 loss=0.0186 dev_acc=0.9178 test_acc=0.6133 eps=126.66
2-86 loss=0.0253 dev_acc=0.9956 test_acc=0.6889 eps=124.99
2-87 loss=0.0398 dev_acc=0.9556 test_acc=0.6400 eps=124.35
2-88 loss=0.0518 dev_acc=0.9733 test_acc=0.6467 eps=124.00
2-89 loss=0.0319 dev_acc=0.9978 test_acc=0.7111 eps=123.92
2-90 loss=0.0195 dev_acc=0.9978 test_acc=0.7289 eps=124.61
2-91 loss=0.0343 dev_acc=0.9956 test_acc=0.7289 eps=124.02
2-92 loss=0.0192 dev_acc=0.9844 test_acc=0.6956 eps=124.02
2-93 loss=0.0379 dev_acc=0.9911 test_acc=0.6978 eps=123.29
2-94 loss=0.0249 dev_acc=0.9978 test_acc=0.7222 eps=124.59
2-95 loss=0.0175 dev_acc=0.9711 test_acc=0.6933 eps=123.06
2-96 loss=0.0111 dev_acc=0.9800 test_acc=0.7111 eps=123.82
2-97 loss=0.0451 dev_acc=0.9822 test_acc=0.6756 eps=124.86
2-98 loss=0.0249 dev_acc=0.9956 test_acc=0.7311 eps=124.78
2-99 loss=0.0095 dev_acc=0.6644 test_acc=0.4422 eps=124.44
2-100 loss=0.0174 dev_acc=0.9822 test_acc=0.6778 eps=123.71
2-101 loss=0.0090 dev_acc=0.9889 test_acc=0.7133 eps=125.07
2-102 loss=0.0052 dev_acc=0.9956 test_acc=0.7067 eps=125.07
2-103 loss=0.0049 dev_acc=0.9978 test_acc=0.7244 eps=123.76
2-104 loss=0.0096 dev_acc=0.9911 test_acc=0.6644 eps=123.19
2-105 loss=0.0387 dev_acc=0.9844 test_acc=0.7156 eps=125.07
2-106 loss=0.0103 dev_acc=0.9911 test_acc=0.7111 eps=123.10
2-107 loss=0.0085 dev_acc=0.9911 test_acc=0.7044 eps=123.62
2-108 loss=0.0260 dev_acc=0.9822 test_acc=0.6756 eps=122.85
2-109 loss=0.0178 dev_acc=1.0000 test_acc=0.7111 eps=124.48
2-110 loss=0.0057 dev_acc=0.9956 test_acc=0.7133 eps=123.38
2-111 loss=0.0041 dev_acc=0.9978 test_acc=0.7356 eps=124.15
2-112 loss=0.0032 dev_acc=0.9978 test_acc=0.7356 eps=123.71
2-113 loss=0.0025 dev_acc=1.0000 test_acc=0.7244 eps=124.64
2-114 loss=0.0153 dev_acc=0.9911 test_acc=0.7222 eps=121.06
2-115 loss=0.0139 dev_acc=1.0000 test_acc=0.7133 eps=122.76
2-116 loss=0.0106 dev_acc=0.9978 test_acc=0.7356 eps=122.63
2-117 loss=0.0065 dev_acc=0.9956 test_acc=0.7244 eps=123.14
2-118 loss=0.0128 dev_acc=0.9267 test_acc=0.6111 eps=124.11
2-119 loss=0.0117 dev_acc=0.9933 test_acc=0.7200 eps=123.22
2-120 loss=0.0089 dev_acc=0.9978 test_acc=0.7200 eps=123.73
2-121 loss=0.0034 dev_acc=0.9978 test_acc=0.7311 eps=122.77
2-122 loss=0.0086 dev_acc=0.9889 test_acc=0.6867 eps=124.18
2-123 loss=0.0086 dev_acc=0.9978 test_acc=0.7311 eps=123.74
2-124 loss=0.0172 dev_acc=0.9822 test_acc=0.6911 eps=124.17
2-125 loss=0.0067 dev_acc=1.0000 test_acc=0.6933 eps=122.53
2-126 loss=0.0043 dev_acc=0.9978 test_acc=0.7156 eps=123.03
2-127 loss=0.0035 dev_acc=1.0000 test_acc=0.7311 eps=124.23
2-128 loss=0.0067 dev_acc=1.0000 test_acc=0.7222 eps=121.80
2-129 loss=0.0036 dev_acc=0.9978 test_acc=0.7178 eps=123.76
2-130 loss=0.0029 dev_acc=1.0000 test_acc=0.7244 eps=123.92
2-131 loss=0.0066 dev_acc=0.9822 test_acc=0.7089 eps=123.86
2-132 loss=0.0110 dev_acc=0.9956 test_acc=0.7178 eps=123.96
2-133 loss=0.0053 dev_acc=0.9978 test_acc=0.7333 eps=123.70
2-134 loss=0.0104 dev_acc=0.9844 test_acc=0.6800 eps=123.90
