0-71 loss=0.0318 dev_acc=0.9800 test_acc=0.6711 eps=177.82
0-72 loss=0.0412 dev_acc=0.9667 test_acc=0.6822 eps=173.74
0-73 loss=0.0288 dev_acc=0.9778 test_acc=0.6467 eps=174.12
0-74 loss=0.0314 dev_acc=0.9756 test_acc=0.6644 eps=170.78
0-75 loss=0.0256 dev_acc=0.9911 test_acc=0.6867 eps=172.51
0-76 loss=0.0608 dev_acc=0.9156 test_acc=0.6178 eps=169.95
0-77 loss=0.0475 dev_acc=0.9889 test_acc=0.6800 eps=175.19
0-78 loss=0.0178 dev_acc=0.9622 test_acc=0.6000 eps=175.32
0-79 loss=0.0213 dev_acc=0.9778 test_acc=0.6689 eps=176.84
0-80 loss=0.0435 dev_acc=0.7933 test_acc=0.4844 eps=172.44
0-81 loss=0.0340 dev_acc=0.9933 test_acc=0.6867 eps=175.94
0-82 loss=0.0126 dev_acc=0.9911 test_acc=0.6889 eps=172.31
0-83 loss=0.0087 dev_acc=0.9978 test_acc=0.7111 eps=174.56
0-84 loss=0.0533 dev_acc=0.9311 test_acc=0.6311 eps=167.54
0-85 loss=0.0444 dev_acc=0.9844 test_acc=0.6867 eps=174.86
0-86 loss=0.0142 dev_acc=0.9578 test_acc=0.5844 eps=180.23
0-87 loss=0.0265 dev_acc=0.9867 test_acc=0.6867 eps=189.12
0-88 loss=0.0128 dev_acc=0.9978 test_acc=0.7000 eps=193.92
0-89 loss=0.0057 dev_acc=0.9933 test_acc=0.6778 eps=196.89
0-90 loss=0.0385 dev_acc=0.7267 test_acc=0.4244 eps=196.88
0-91 loss=0.0375 dev_acc=0.8956 test_acc=0.5667 eps=193.94
0-92 loss=0.0214 dev_acc=0.9844 test_acc=0.6622 eps=194.95
0-93 loss=0.0075 dev_acc=0.9933 test_acc=0.6533 eps=187.29
0-94 loss=0.0104 dev_acc=0.8800 test_acc=0.5333 eps=188.72
0-95 loss=0.0145 dev_acc=0.9956 test_acc=0.6867 eps=185.73
0-96 loss=0.0129 dev_acc=1.0000 test_acc=0.6822 eps=185.56
0-97 loss=0.0059 dev_acc=0.9956 test_acc=0.6756 eps=184.90
0-98 loss=0.0071 dev_acc=0.9978 test_acc=0.7067 eps=185.51
0-99 loss=0.0050 dev_acc=0.9956 test_acc=0.6533 eps=184.57
0-100 loss=0.0215 dev_acc=0.4533 test_acc=0.2822 eps=179.48
0-101 loss=0.0233 dev_acc=0.9889 test_acc=0.6733 eps=184.59
0-102 loss=0.0236 dev_acc=0.9978 test_acc=0.6778 eps=178.66
0-103 loss=0.0052 dev_acc=0.9711 test_acc=0.6111 eps=176.48
0-104 loss=0.0209 dev_acc=1.0000 test_acc=0.6911 eps=171.89
0-105 loss=0.0096 dev_acc=1.0000 test_acc=0.7133 eps=173.57
0-106 loss=0.0093 dev_acc=0.9933 test_acc=0.6622 eps=174.30
0-107 loss=0.0222 dev_acc=0.9911 test_acc=0.6711 eps=172.69
0-108 loss=0.0036 dev_acc=1.0000 test_acc=0.7022 eps=148.27
0-109 loss=0.0040 dev_acc=1.0000 test_acc=0.7067 eps=110.30
0-110 loss=0.0033 dev_acc=0.9978 test_acc=0.7022 eps=121.62
0-111 loss=0.0063 dev_acc=0.9911 test_acc=0.6800 eps=129.35
0-112 loss=0.0047 dev_acc=0.9956 test_acc=0.6889 eps=130.16
0-113 loss=0.0024 dev_acc=0.9933 test_acc=0.6867 eps=149.24
0-114 loss=0.0209 dev_acc=0.9911 test_acc=0.6867 eps=148.09
0-115 loss=0.0104 dev_acc=0.9956 test_acc=0.6756 eps=146.20
0-116 loss=0.0043 dev_acc=0.9956 test_acc=0.7067 eps=172.93
0-117 loss=0.0027 dev_acc=1.0000 test_acc=0.7067 eps=175.00
0-118 loss=0.0022 dev_acc=1.0000 test_acc=0.7044 eps=168.12
0-119 loss=0.0041 dev_acc=1.0000 test_acc=0.6867 eps=172.56
0-120 loss=0.0036 dev_acc=0.9956 test_acc=0.6600 eps=176.19
0-121 loss=0.0166 dev_acc=1.0000 test_acc=0.7044 eps=177.49
0-122 loss=0.0037 dev_acc=0.9778 test_acc=0.6489 eps=181.64
0-123 loss=0.0061 dev_acc=1.0000 test_acc=0.7067 eps=183.07
0-124 loss=0.0032 dev_acc=1.0000 test_acc=0.7089 eps=184.07
0-125 loss=0.0023 dev_acc=1.0000 test_acc=0.6956 eps=180.08
0-126 loss=0.0015 dev_acc=1.0000 test_acc=0.7044 eps=187.97
0-127 loss=0.0109 dev_acc=0.9956 test_acc=0.7111 eps=189.97
0-128 loss=0.0029 dev_acc=1.0000 test_acc=0.7200 eps=193.51
0-129 loss=0.0053 dev_acc=1.0000 test_acc=0.7111 eps=193.79
0-130 loss=0.0053 dev_acc=1.0000 test_acc=0.7067 eps=188.59
0-131 loss=0.0051 dev_acc=0.9978 test_acc=0.6711 eps=188.96
0-132 loss=0.0022 dev_acc=0.9978 test_acc=0.7067 eps=182.55
0-133 loss=0.0013 dev_acc=0.9978 test_acc=0.7044 eps=186.61
0-134 loss=0.0015 dev_acc=0.9978 test_acc=0.7156 eps=191.79
0-135 loss=0.0013 dev_acc=1.0000 test_acc=0.7000 eps=188.38
0-136 loss=0.0075 dev_acc=0.9800 test_acc=0.6511 eps=192.26
0-137 loss=0.0044 dev_acc=1.0000 test_acc=0.6933 eps=187.84
0-138 loss=0.0034 dev_acc=1.0000 test_acc=0.7111 eps=185.24
0-139 loss=0.0030 dev_acc=1.0000 test_acc=0.7089 eps=182.29
0-140 loss=0.0015 dev_acc=0.9978 test_acc=0.7044 eps=184.68
0-141 loss=0.0029 dev_acc=1.0000 test_acc=0.7200 eps=187.86
0-142 loss=0.0013 dev_acc=0.9978 test_acc=0.7044 eps=183.94
0-143 loss=0.0012 dev_acc=1.0000 test_acc=0.7022 eps=182.73
0-144 loss=0.0009 dev_acc=1.0000 test_acc=0.7089 eps=178.08
0-145 loss=0.0006 dev_acc=1.0000 test_acc=0.7244 eps=180.25
0-146 loss=0.0007 dev_acc=1.0000 test_acc=0.7267 eps=180.73
0-147 loss=0.0008 dev_acc=1.0000 test_acc=0.7133 eps=172.19
0-148 loss=0.0006 dev_acc=0.9978 test_acc=0.7222 eps=170.24
0-149 loss=0.0067 dev_acc=0.9978 test_acc=0.6800 eps=170.48
0-150 loss=0.0019 dev_acc=0.9956 test_acc=0.7200 eps=170.93
0-151 loss=0.0010 dev_acc=0.9956 test_acc=0.7133 eps=169.14
