0-81 loss=0.0791 dev_acc=0.9978 test_acc=0.7422 eps=203.65
0-82 loss=0.0527 dev_acc=0.9956 test_acc=0.7333 eps=200.53
0-83 loss=0.0595 dev_acc=0.9978 test_acc=0.7378 eps=204.62
0-84 loss=0.0501 dev_acc=0.9956 test_acc=0.7378 eps=203.49
0-85 loss=0.0666 dev_acc=0.9778 test_acc=0.7067 eps=202.74
0-86 loss=0.0647 dev_acc=0.9733 test_acc=0.7067 eps=203.15
0-87 loss=0.0496 dev_acc=0.9578 test_acc=0.7200 eps=202.21
0-88 loss=0.0448 dev_acc=0.9889 test_acc=0.7178 eps=201.79
0-89 loss=0.0500 dev_acc=0.9400 test_acc=0.7000 eps=208.12
0-90 loss=0.0443 dev_acc=0.9644 test_acc=0.6844 eps=205.45
0-91 loss=0.0395 dev_acc=0.9800 test_acc=0.6867 eps=207.41
0-92 loss=0.0480 dev_acc=0.9933 test_acc=0.7333 eps=208.58
0-93 loss=0.0348 dev_acc=0.9622 test_acc=0.7067 eps=205.47
0-94 loss=0.0473 dev_acc=0.9978 test_acc=0.7489 eps=207.22
0-95 loss=0.0460 dev_acc=1.0000 test_acc=0.7400 eps=207.00
0-96 loss=0.0268 dev_acc=0.9956 test_acc=0.7289 eps=203.19
0-97 loss=0.0403 dev_acc=0.9867 test_acc=0.7178 eps=203.41
0-98 loss=0.0300 dev_acc=1.0000 test_acc=0.7489 eps=199.94
0-99 loss=0.0298 dev_acc=0.9911 test_acc=0.7378 eps=200.89
0-100 loss=0.0298 dev_acc=0.9489 test_acc=0.6844 eps=201.80
0-101 loss=0.0345 dev_acc=0.9844 test_acc=0.7422 eps=200.18
0-102 loss=0.0314 dev_acc=0.9956 test_acc=0.7533 eps=201.78
0-103 loss=0.0155 dev_acc=0.9911 test_acc=0.7533 eps=202.80
0-104 loss=0.0196 dev_acc=0.9978 test_acc=0.7467 eps=200.67
0-105 loss=0.0290 dev_acc=0.9911 test_acc=0.7111 eps=204.12
0-106 loss=0.0194 dev_acc=0.9911 test_acc=0.7311 eps=201.87
0-107 loss=0.0157 dev_acc=0.9911 test_acc=0.7356 eps=200.63
0-108 loss=0.0167 dev_acc=0.9911 test_acc=0.7422 eps=204.96
0-109 loss=0.0193 dev_acc=0.9489 test_acc=0.6867 eps=201.32
0-110 loss=0.0260 dev_acc=0.9689 test_acc=0.6956 eps=202.94
0-111 loss=0.0249 dev_acc=0.9822 test_acc=0.7178 eps=203.45
0-112 loss=0.0099 dev_acc=0.9933 test_acc=0.7244 eps=201.24
0-113 loss=0.0216 dev_acc=0.9956 test_acc=0.7444 eps=198.95
0-114 loss=0.0169 dev_acc=0.9978 test_acc=0.7422 eps=192.66
0-115 loss=0.0152 dev_acc=0.9978 test_acc=0.7533 eps=191.49
0-116 loss=0.0138 dev_acc=0.9956 test_acc=0.7156 eps=193.59
0-117 loss=0.0127 dev_acc=0.9978 test_acc=0.7200 eps=191.41
0-118 loss=0.0186 dev_acc=0.9644 test_acc=0.6978 eps=193.21
0-119 loss=0.0197 dev_acc=0.9889 test_acc=0.7111 eps=193.44
0-120 loss=0.0145 dev_acc=0.9956 test_acc=0.7378 eps=190.37
0-121 loss=0.0127 dev_acc=0.9733 test_acc=0.6956 eps=192.90
0-122 loss=0.0085 dev_acc=0.9733 test_acc=0.7133 eps=191.73
0-123 loss=0.0116 dev_acc=0.9978 test_acc=0.7400 eps=189.60
0-124 loss=0.0127 dev_acc=0.9911 test_acc=0.7222 eps=190.46
0-125 loss=0.0141 dev_acc=1.0000 test_acc=0.7222 eps=189.84
0-126 loss=0.0112 dev_acc=0.9911 test_acc=0.7444 eps=189.52
0-127 loss=0.0100 dev_acc=0.9867 test_acc=0.7467 eps=191.52
1-1 loss=3.2470 dev_acc=0.1356 test_acc=0.1178 eps=194.03
1-2 loss=2.8414 dev_acc=0.1111 test_acc=0.1044 eps=204.00
1-3 loss=2.6184 dev_acc=0.1400 test_acc=0.1489 eps=205.36
1-4 loss=2.4571 dev_acc=0.2911 test_acc=0.3022 eps=201.74
1-5 loss=2.3289 dev_acc=0.2800 test_acc=0.2844 eps=204.33
1-6 loss=2.2096 dev_acc=0.3244 test_acc=0.3422 eps=202.92
1-7 loss=2.1251 dev_acc=0.3356 test_acc=0.2911 eps=200.71
1-8 loss=2.0241 dev_acc=0.3711 test_acc=0.3467 eps=202.49
1-9 loss=1.9109 dev_acc=0.3289 test_acc=0.3311 eps=199.53
1-10 loss=1.8308 dev_acc=0.3311 test_acc=0.3244 eps=201.87
1-11 loss=1.7387 dev_acc=0.3289 test_acc=0.3889 eps=203.62
1-12 loss=1.6786 dev_acc=0.3844 test_acc=0.4022 eps=200.69
1-13 loss=1.6171 dev_acc=0.4133 test_acc=0.3933 eps=202.70
1-14 loss=1.5324 dev_acc=0.4311 test_acc=0.4111 eps=201.74
1-15 loss=1.4935 dev_acc=0.4333 test_acc=0.3933 eps=200.61
1-16 loss=1.4354 dev_acc=0.4600 test_acc=0.4311 eps=203.65
1-17 loss=1.4044 dev_acc=0.4511 test_acc=0.4444 eps=199.64
1-18 loss=1.3070 dev_acc=0.4200 test_acc=0.4289 eps=198.94
1-19 loss=1.2611 dev_acc=0.3644 test_acc=0.3644 eps=201.00
1-20 loss=1.2589 dev_acc=0.4800 test_acc=0.4600 eps=197.60
1-21 loss=1.1661 dev_acc=0.4378 test_acc=0.4311 eps=201.16
1-22 loss=1.1192 dev_acc=0.4067 test_acc=0.4622 eps=199.79
1-23 loss=1.0766 dev_acc=0.5311 test_acc=0.5111 eps=197.30
1-24 loss=1.0177 dev_acc=0.5689 test_acc=0.5356 eps=200.45
1-25 loss=0.9957 dev_acc=0.4733 test_acc=0.4489 eps=199.66
1-26 loss=0.9384 dev_acc=0.5911 test_acc=0.5267 eps=199.26
1-27 loss=0.8872 dev_acc=0.5800 test_acc=0.4911 eps=202.33
1-28 loss=0.8758 dev_acc=0.5933 test_acc=0.5533 eps=197.43
1-29 loss=0.8045 dev_acc=0.6222 test_acc=0.5511 eps=200.57
1-30 loss=0.7640 dev_acc=0.5622 test_acc=0.4889 eps=201.27
1-31 loss=0.7544 dev_acc=0.6089 test_acc=0.5400 eps=197.58
1-32 loss=0.7054 dev_acc=0.5733 test_acc=0.5600 eps=200.29
1-33 loss=0.7131 dev_acc=0.5889 test_acc=0.5644 eps=198.22
1-34 loss=0.6440 dev_acc=0.6089 test_acc=0.5667 eps=193.63
1-35 loss=0.6089 dev_acc=0.6222 test_acc=0.5778 eps=189.58
1-36 loss=0.6046 dev_acc=0.6911 test_acc=0.5844 eps=187.75
1-37 loss=0.5621 dev_acc=0.7000 test_acc=0.5933 eps=190.00
1-38 loss=0.5523 dev_acc=0.6711 test_acc=0.6111 eps=188.74
1-39 loss=0.5270 dev_acc=0.7000 test_acc=0.6311 eps=187.15
1-40 loss=0.5049 dev_acc=0.6622 test_acc=0.6244 eps=188.39
1-41 loss=0.4791 dev_acc=0.7022 test_acc=0.6311 eps=186.52
1-42 loss=0.4451 dev_acc=0.6156 test_acc=0.5400 eps=188.89
1-43 loss=0.4610 dev_acc=0.7533 test_acc=0.6422 eps=183.78
1-44 loss=0.4200 dev_acc=0.7667 test_acc=0.6311 eps=187.10
1-45 loss=0.4074 dev_acc=0.7378 test_acc=0.6556 eps=189.55
1-46 loss=0.3734 dev_acc=0.7756 test_acc=0.6578 eps=187.51
1-47 loss=0.3610 dev_acc=0.6822 test_acc=0.5956 eps=189.57
1-48 loss=0.3604 dev_acc=0.7622 test_acc=0.6378 eps=188.64
1-49 loss=0.3509 dev_acc=0.7711 test_acc=0.6422 eps=188.33
1-50 loss=0.3077 dev_acc=0.7578 test_acc=0.6778 eps=196.75
1-51 loss=0.3063 dev_acc=0.7933 test_acc=0.6644 eps=196.27
1-52 loss=0.2845 dev_acc=0.7467 test_acc=0.6422 eps=200.02
1-53 loss=0.2883 dev_acc=0.7400 test_acc=0.6289 eps=198.84
1-54 loss=0.2690 dev_acc=0.7844 test_acc=0.6311 eps=199.26
1-55 loss=0.2586 dev_acc=0.7644 test_acc=0.6378 eps=201.98
1-56 loss=0.2633 dev_acc=0.7867 test_acc=0.6356 eps=199.73
1-57 loss=0.2344 dev_acc=0.8289 test_acc=0.6578 eps=199.31
1-58 loss=0.2325 dev_acc=0.8044 test_acc=0.6756 eps=201.34
1-59 loss=0.2212 dev_acc=0.8489 test_acc=0.6711 eps=198.02
1-60 loss=0.2166 dev_acc=0.8067 test_acc=0.6844 eps=200.63
1-61 loss=0.2051 dev_acc=0.8067 test_acc=0.6511 eps=200.35
1-62 loss=0.1929 dev_acc=0.7600 test_acc=0.6200 eps=199.77
1-63 loss=0.1642 dev_acc=0.8467 test_acc=0.6600 eps=202.40
1-64 loss=0.1672 dev_acc=0.8200 test_acc=0.6578 eps=200.23
1-65 loss=0.1907 dev_acc=0.8778 test_acc=0.6844 eps=201.18
