1-22 loss=0.1589 dev_acc=0.9489 test_acc=0.8533 eps=209.17
1-23 loss=0.1512 dev_acc=0.9556 test_acc=0.8711 eps=204.63
1-24 loss=0.1550 dev_acc=0.9533 test_acc=0.8533 eps=208.02
1-25 loss=0.1643 dev_acc=0.9644 test_acc=0.8756 eps=202.64
1-26 loss=0.1200 dev_acc=0.9533 test_acc=0.8556 eps=206.83
1-27 loss=0.1291 dev_acc=0.9422 test_acc=0.8378 eps=212.37
1-28 loss=0.1243 dev_acc=0.9600 test_acc=0.8733 eps=202.18
1-29 loss=0.1213 dev_acc=0.9711 test_acc=0.8800 eps=202.58
1-30 loss=0.0985 dev_acc=0.9689 test_acc=0.9022 eps=208.66
1-31 loss=0.1202 dev_acc=0.9711 test_acc=0.8978 eps=209.08
1-32 loss=0.0943 dev_acc=0.9733 test_acc=0.8978 eps=204.07
1-33 loss=0.0986 dev_acc=0.9756 test_acc=0.8889 eps=207.33
1-34 loss=0.0828 dev_acc=0.9756 test_acc=0.9000 eps=205.22
1-35 loss=0.0848 dev_acc=0.9511 test_acc=0.8778 eps=209.03
1-36 loss=0.0892 dev_acc=0.9689 test_acc=0.8733 eps=204.91
1-37 loss=0.0873 dev_acc=0.9800 test_acc=0.8733 eps=204.04
1-38 loss=0.0904 dev_acc=0.9800 test_acc=0.8911 eps=211.10
1-39 loss=0.0875 dev_acc=0.9622 test_acc=0.8644 eps=204.01
1-40 loss=0.0697 dev_acc=0.9667 test_acc=0.8689 eps=206.88
1-41 loss=0.0743 dev_acc=0.9756 test_acc=0.9089 eps=208.17
1-42 loss=0.0564 dev_acc=0.9800 test_acc=0.8867 eps=208.14
1-43 loss=0.0550 dev_acc=0.9778 test_acc=0.9000 eps=204.46
1-44 loss=0.0656 dev_acc=0.9778 test_acc=0.8911 eps=205.45
1-45 loss=0.0705 dev_acc=0.9733 test_acc=0.8844 eps=208.91
1-46 loss=0.0856 dev_acc=0.9667 test_acc=0.8778 eps=203.76
1-47 loss=0.0593 dev_acc=0.9889 test_acc=0.9067 eps=211.94
1-48 loss=0.0526 dev_acc=0.9778 test_acc=0.8600 eps=203.07
1-49 loss=0.0545 dev_acc=0.9822 test_acc=0.9111 eps=205.15
1-50 loss=0.0446 dev_acc=0.9889 test_acc=0.9022 eps=202.23
1-51 loss=0.0436 dev_acc=0.9844 test_acc=0.9000 eps=208.23
1-52 loss=0.0478 dev_acc=0.9844 test_acc=0.9022 eps=205.65
1-53 loss=0.0581 dev_acc=0.9867 test_acc=0.9000 eps=204.52
