1-13 loss=0.3790 dev_acc=0.9044 test_acc=0.9000 eps=154.37
1-14 loss=0.3107 dev_acc=0.9022 test_acc=0.9156 eps=155.92
1-15 loss=0.2791 dev_acc=0.9022 test_acc=0.8844 eps=153.21
1-16 loss=0.2653 dev_acc=0.8956 test_acc=0.8622 eps=157.92
1-17 loss=0.2324 dev_acc=0.9067 test_acc=0.9044 eps=154.16
1-18 loss=0.2217 dev_acc=0.8867 test_acc=0.9022 eps=155.63
1-19 loss=0.1858 dev_acc=0.8978 test_acc=0.8933 eps=156.28
1-20 loss=0.2009 dev_acc=0.9267 test_acc=0.9089 eps=157.22
1-21 loss=0.1700 dev_acc=0.9089 test_acc=0.8911 eps=154.96
1-22 loss=0.1701 dev_acc=0.9200 test_acc=0.9022 eps=156.48
1-23 loss=0.1467 dev_acc=0.9400 test_acc=0.9089 eps=155.55
1-24 loss=0.1503 dev_acc=0.9156 test_acc=0.9111 eps=155.25
1-25 loss=0.1513 dev_acc=0.9422 test_acc=0.9133 eps=156.14
1-26 loss=0.1423 dev_acc=0.9422 test_acc=0.8956 eps=159.15
1-27 loss=0.1397 dev_acc=0.9467 test_acc=0.9111 eps=154.99
1-28 loss=0.1080 dev_acc=0.9556 test_acc=0.9222 eps=154.37
1-29 loss=0.1055 dev_acc=0.9489 test_acc=0.9200 eps=155.50
1-30 loss=0.1206 dev_acc=0.9333 test_acc=0.8978 eps=152.59
1-31 loss=0.1142 dev_acc=0.9378 test_acc=0.9044 eps=159.24
1-32 loss=0.1123 dev_acc=0.9467 test_acc=0.9133 eps=155.05
1-33 loss=0.1106 dev_acc=0.9422 test_acc=0.9133 eps=155.99
1-34 loss=0.0876 dev_acc=0.9644 test_acc=0.9267 eps=154.45
1-35 loss=0.0892 dev_acc=0.9689 test_acc=0.9222 eps=149.73
1-36 loss=0.0836 dev_acc=0.9556 test_acc=0.9244 eps=158.55
1-37 loss=0.0708 dev_acc=0.9600 test_acc=0.9267 eps=157.87
1-38 loss=0.0756 dev_acc=0.9556 test_acc=0.9067 eps=153.29
1-39 loss=0.0800 dev_acc=0.9378 test_acc=0.9111 eps=157.81
1-40 loss=0.0807 dev_acc=0.9689 test_acc=0.9244 eps=158.25
1-41 loss=0.0651 dev_acc=0.9667 test_acc=0.9289 eps=154.64
1-42 loss=0.0757 dev_acc=0.9556 test_acc=0.9267 eps=155.76
1-43 loss=0.0747 dev_acc=0.9533 test_acc=0.9111 eps=156.11
