0-81 loss=0.0424 dev_acc=0.9867 test_acc=0.8333 eps=188.00
0-82 loss=0.0455 dev_acc=0.9956 test_acc=0.8289 eps=185.10
0-83 loss=0.0349 dev_acc=0.9600 test_acc=0.7978 eps=176.78
0-84 loss=0.0386 dev_acc=0.9800 test_acc=0.8089 eps=177.04
0-85 loss=0.0283 dev_acc=0.9844 test_acc=0.8311 eps=175.41
0-86 loss=0.0304 dev_acc=0.9733 test_acc=0.7622 eps=176.38
0-87 loss=0.0364 dev_acc=0.9978 test_acc=0.8333 eps=176.35
0-88 loss=0.0301 dev_acc=0.9867 test_acc=0.8044 eps=174.40
0-89 loss=0.0291 dev_acc=0.9911 test_acc=0.8489 eps=184.04
0-90 loss=0.0210 dev_acc=0.9933 test_acc=0.8356 eps=181.98
0-91 loss=0.0239 dev_acc=0.9867 test_acc=0.8156 eps=182.15
0-92 loss=0.0239 dev_acc=0.9778 test_acc=0.8067 eps=183.88
0-93 loss=0.0277 dev_acc=0.9867 test_acc=0.8000 eps=181.89
0-94 loss=0.0178 dev_acc=0.9756 test_acc=0.7822 eps=183.88
0-95 loss=0.0319 dev_acc=0.9911 test_acc=0.8378 eps=186.22
0-96 loss=0.0196 dev_acc=0.9933 test_acc=0.8356 eps=169.47
0-97 loss=0.0212 dev_acc=0.9933 test_acc=0.8267 eps=163.08
0-98 loss=0.0135 dev_acc=0.9933 test_acc=0.8511 eps=164.26
0-99 loss=0.0092 dev_acc=0.9911 test_acc=0.8378 eps=166.55
0-100 loss=0.0172 dev_acc=0.9778 test_acc=0.8289 eps=166.28
0-101 loss=0.0152 dev_acc=0.9956 test_acc=0.8311 eps=163.68
0-102 loss=0.0077 dev_acc=0.9844 test_acc=0.8044 eps=166.94
0-103 loss=0.0049 dev_acc=0.9933 test_acc=0.8200 eps=167.70
0-104 loss=0.0182 dev_acc=0.9978 test_acc=0.8311 eps=189.68
0-105 loss=0.0209 dev_acc=0.9889 test_acc=0.7956 eps=186.57
0-106 loss=0.0189 dev_acc=0.9889 test_acc=0.8311 eps=185.57
0-107 loss=0.0078 dev_acc=0.9978 test_acc=0.8400 eps=188.25
0-108 loss=0.0072 dev_acc=0.9933 test_acc=0.8356 eps=184.47
0-109 loss=0.0213 dev_acc=0.9933 test_acc=0.8489 eps=186.58
0-110 loss=0.0059 dev_acc=1.0000 test_acc=0.8467 eps=186.67
0-111 loss=0.0051 dev_acc=0.9978 test_acc=0.8244 eps=183.60
0-112 loss=0.0061 dev_acc=0.9978 test_acc=0.8356 eps=185.83
0-113 loss=0.0053 dev_acc=0.9911 test_acc=0.8333 eps=185.79
0-114 loss=0.0179 dev_acc=0.9733 test_acc=0.7800 eps=186.18
0-115 loss=0.0088 dev_acc=0.9978 test_acc=0.8200 eps=188.94
0-116 loss=0.0098 dev_acc=0.9911 test_acc=0.8333 eps=186.35
0-117 loss=0.0064 dev_acc=0.9956 test_acc=0.8178 eps=186.94
0-118 loss=0.0036 dev_acc=0.9844 test_acc=0.7778 eps=189.24
0-119 loss=0.0073 dev_acc=0.9956 test_acc=0.8311 eps=186.37
0-120 loss=0.0110 dev_acc=0.9956 test_acc=0.8000 eps=185.80
0-121 loss=0.0055 dev_acc=0.9978 test_acc=0.8356 eps=181.33
0-122 loss=0.0050 dev_acc=0.9978 test_acc=0.8444 eps=181.21
0-123 loss=0.0130 dev_acc=1.0000 test_acc=0.8244 eps=185.95
